/Users/jhilik/Desktop/SelfDrivingMaterials/Autonomous Car simulator datas/IMG/center_2019_07_03_16_49_22_625.jpg,/Users/jhilik/Desktop/SelfDrivingMaterials/Autonomous Car simulator datas/IMG/left_2019_07_03_16_49_22_625.jpg,/Users/jhilik/Desktop/SelfDrivingMaterials/Autonomous Car simulator datas/IMG/right_2019_07_03_16_49_22_625.jpg,0,0,0,6.637256
/Users/jhilik/Desktop/SelfDrivingMaterials/Autonomous Car simulator datas/IMG/center_2019_07_03_16_49_22_695.jpg,/Users/jhilik/Desktop/SelfDrivingMaterials/Autonomous Car simulator datas/IMG/left_2019_07_03_16_49_22_695.jpg,/Users/jhilik/Desktop/SelfDrivingMaterials/Autonomous Car simulator datas/IMG/right_2019_07_03_16_49_22_695.jpg,0,0,0,6.596043
/Users/jhilik/Desktop/SelfDrivingMaterials/Autonomous Car simulator datas/IMG/center_2019_07_03_16_49_22_763.jpg,/Users/jhilik/Desktop/SelfDrivingMaterials/Autonomous Car simulator datas/IMG/left_2019_07_03_16_49_22_763.jpg,/Users/jhilik/Desktop/SelfDrivingMaterials/Autonomous Car simulator datas/IMG/right_2019_07_03_16_49_22_763.jpg,0,0,0,6.541459
/Users/jhilik/Desktop/SelfDrivingMaterials/Autonomous Car simulator datas/IMG/center_2019_07_03_16_49_22_831.jpg,/Users/jhilik/Desktop/SelfDrivingMaterials/Autonomous Car simulator datas/IMG/left_2019_07_03_16_49_22_831.jpg,/Users/jhilik/Desktop/SelfDrivingMaterials/Autonomous Car simulator datas/IMG/right_2019_07_03_16_49_22_831.jpg,0,0,0,6.500803
/Users/jhilik/Desktop/SelfDrivingMaterials/Autonomous Car simulator datas/IMG/center_2019_07_03_16_49_22_900.jpg,/Users/jhilik/Desktop/SelfDrivingMaterials/Autonomous Car simulator datas/IMG/left_2019_07_03_16_49_22_900.jpg,/Users/jhilik/Desktop/SelfDrivingMaterials/Autonomous Car simulator datas/IMG/right_2019_07_03_16_49_22_900.jpg,0,0,0,6.44696
/Users/jhilik/Desktop/SelfDrivingMaterials/Autonomous Car simulator datas/IMG/center_2019_07_03_16_49_22_968.jpg,/Users/jhilik/Desktop/SelfDrivingMaterials/Autonomous Car simulator datas/IMG/left_2019_07_03_16_49_22_968.jpg,/Users/jhilik/Desktop/SelfDrivingMaterials/Autonomous Car simulator datas/IMG/right_2019_07_03_16_49_22_968.jpg,0,0,0,6.40685
/Users/jhilik/Desktop/SelfDrivingMaterials/Autonomous Car simulator datas/IMG/center_2019_07_03_16_49_23_040.jpg,/Users/jhilik/Desktop/SelfDrivingMaterials/Autonomous Car simulator datas/IMG/left_2019_07_03_16_49_23_040.jpg,/Users/jhilik/Desktop/SelfDrivingMaterials/Autonomous Car simulator datas/IMG/right_2019_07_03_16_49_23_040.jpg,0,0,0,6.353727
/Users/jhilik/Desktop/SelfDrivingMaterials/Autonomous Car simulator datas/IMG/center_2019_07_03_16_49_23_118.jpg,/Users/jhilik/Desktop/SelfDrivingMaterials/Autonomous Car simulator datas/IMG/left_2019_07_03_16_49_23_118.jpg,/Users/jhilik/Desktop/SelfDrivingMaterials/Autonomous Car simulator datas/IMG/right_2019_07_03_16_49_23_118.jpg,0,0,0,6.314761
/Users/jhilik/Desktop/SelfDrivingMaterials/Autonomous Car simulator datas/IMG/center_2019_07_03_16_49_23_198.jpg,/Users/jhilik/Desktop/SelfDrivingMaterials/Autonomous Car simulator datas/IMG/left_2019_07_03_16_49_23_198.jpg,/Users/jhilik/Desktop/SelfDrivingMaterials/Autonomous Car simulator datas/IMG/right_2019_07_03_16_49_23_198.jpg,0,0,0,6.265537
/Users/jhilik/Desktop/SelfDrivingMaterials/Autonomous Car simulator datas/IMG/center_2019_07_03_16_49_23_283.jpg,/Users/jhilik/Desktop/SelfDrivingMaterials/Autonomous Car simulator datas/IMG/left_2019_07_03_16_49_23_283.jpg,/Users/jhilik/Desktop/SelfDrivingMaterials/Autonomous Car simulator datas/IMG/right_2019_07_03_16_49_23_283.jpg,0,0,0,6.204564
/Users/jhilik/Desktop/SelfDrivingMaterials/Autonomous Car simulator datas/IMG/center_2019_07_03_16_49_23_356.jpg,/Users/jhilik/Desktop/SelfDrivingMaterials/Autonomous Car simulator datas/IMG/left_2019_07_03_16_49_23_356.jpg,/Users/jhilik/Desktop/SelfDrivingMaterials/Autonomous Car simulator datas/IMG/right_2019_07_03_16_49_23_356.jpg,0,0,0,6.16828
/Users/jhilik/Desktop/SelfDrivingMaterials/Autonomous Car simulator datas/IMG/center_2019_07_03_16_49_23_423.jpg,/Users/jhilik/Desktop/SelfDrivingMaterials/Autonomous Car simulator datas/IMG/left_2019_07_03_16_49_23_423.jpg,/Users/jhilik/Desktop/SelfDrivingMaterials/Autonomous Car simulator datas/IMG/right_2019_07_03_16_49_23_423.jpg,0,0,0,6.12243
/Users/jhilik/Desktop/SelfDrivingMaterials/Autonomous Car simulator datas/IMG/center_2019_07_03_16_49_23_497.jpg,/Users/jhilik/Desktop/SelfDrivingMaterials/Autonomous Car simulator datas/IMG/left_2019_07_03_16_49_23_497.jpg,/Users/jhilik/Desktop/SelfDrivingMaterials/Autonomous Car simulator datas/IMG/right_2019_07_03_16_49_23_497.jpg,0.1,0,0,6.087772
